mmsi,lat,lon
27,30.393134898632315,121.81385412655192
27,30.393154446699654,121.81392018097475
27,30.393172185308547,121.81398439598294
27,30.39319219274134,121.81405221904696
27,30.39320980462347,121.81411717240638
27,30.393230351994383,121.81418501288287
28,30.39313489863232,121.81385412655192
28,30.393154446699654,121.81392018097475
28,30.393172185308547,121.81398439598294
28,30.39319219274133,121.81405221904696
28,30.39320980462347,121.81411717240638
28,30.393230351994383,121.81418501288287
29,30.393134898632315,121.81385412655192
29,30.393154446699654,121.81392018097475
29,30.393172185308547,121.81398439598294
29,30.39319219274133,121.81405221904696
29,30.39320980462347,121.81411717240638
29,30.393230351994383,121.81418501288287
30,30.39313489863232,121.81385412655192
30,30.393154446699654,121.81392018097475
30,30.393172185308547,121.81398439598294
30,30.39319219274133,121.81405221904696
30,30.39320980462347,121.81411717240638
30,30.393230351994383,121.81418501288287
31,30.393134898632315,121.81385412655192
31,30.393154446699654,121.81392018097475
31,30.393172185308547,121.81398439598294
31,30.39319219274134,121.81405221904696
31,30.39320980462347,121.81411717240638
31,30.393230351994383,121.81418501288287
32,30.39313489863232,121.81385412655192
32,30.393154446699654,121.81392018097475
32,30.393172185308547,121.81398439598294
32,30.39319219274133,121.81405221904696
32,30.39320980462347,121.81411717240638
32,30.393230351994383,121.81418501288287
33,30.39313489863232,121.81385412655192
33,30.393154446699654,121.81392018097475
33,30.393172185308547,121.81398439598294
33,30.39319219274133,121.81405221904696
33,30.39320980462347,121.81411717240638
33,30.393230351994383,121.81418501288287
34,30.39313489863232,121.81385412655192
34,30.393154446699654,121.81392018097475
34,30.393172185308547,121.81398439598294
34,30.39319219274133,121.81405221904696
34,30.39320980462347,121.81411717240638
34,30.393230351994383,121.81418501288287
35,30.393134898632315,121.81385412655192
35,30.393154446699654,121.81392018097475
35,30.393172185308547,121.81398439598294
35,30.39319219274133,121.81405221904696
35,30.39320980462347,121.81411717240638
35,30.393230351994383,121.81418501288287
36,30.39313489863232,121.81385412655192
36,30.393154446699654,121.81392018097475
36,30.393172185308547,121.81398439598294
36,30.39319219274133,121.81405221904696
36,30.39320980462347,121.81411717240638
36,30.393230351994383,121.81418501288287
37,30.39313489863232,121.81385412655192
37,30.393154446699654,121.81392018097475
37,30.393172185308547,121.81398439598294
37,30.39319219274133,121.81405221904696
37,30.39320980462347,121.81411717240638
37,30.393230351994383,121.81418501288287
38,30.39313489863232,121.81385412655192
38,30.393154446699654,121.81392018097475
38,30.393172185308547,121.81398439598294
38,30.39319219274133,121.81405221904696
38,30.39320980462347,121.81411717240638
38,30.393230351994383,121.81418501288287
39,30.393134898632315,121.81385412655192
39,30.393154446699654,121.81392018097475
39,30.393172185308547,121.81398439598294
39,30.39319219274133,121.81405221904696
39,30.39320980462347,121.81411717240638
39,30.393230351994383,121.81418501288287
40,30.39313489863232,121.81385412655192
40,30.393154446699654,121.81392018097475
40,30.393172185308547,121.81398439598294
40,30.39319219274133,121.81405221904696
40,30.39320980462347,121.81411717240638
40,30.393230351994383,121.81418501288287
41,30.393134898632315,121.81385412655192
41,30.393154446699654,121.81392018097475
41,30.393172185308547,121.81398439598294
41,30.39319219274134,121.81405221904696
41,30.39320980462347,121.81411717240638
41,30.393230351994383,121.81418501288287
42,30.39313489863232,121.81385412655192
42,30.393154446699654,121.81392018097475
42,30.393172185308547,121.81398439598294
42,30.39319219274133,121.81405221904696
42,30.39320980462347,121.81411717240638
42,30.393230351994383,121.81418501288287
43,30.393134898632315,121.81385412655192
43,30.393154446699654,121.81392018097475
43,30.393172185308547,121.81398439598294
43,30.39319219274133,121.81405221904696
43,30.39320980462347,121.81411717240638
43,30.393230351994383,121.81418501288287
44,30.393134898632315,121.81385412655192
44,30.393154446699654,121.81392018097475
44,30.393172185308547,121.81398439598294
44,30.39319219274133,121.81405221904696
44,30.39320980462347,121.81411717240638
44,30.393230351994383,121.81418501288287
45,30.39313489863232,121.81385412655192
45,30.393154446699654,121.81392018097475
45,30.393172185308547,121.81398439598294
45,30.39319219274133,121.81405221904696
45,30.39320980462347,121.81411717240638
45,30.393230351994383,121.81418501288287
46,30.39313489863232,121.81385412655192
46,30.393154446699654,121.81392018097475
46,30.393172185308547,121.81398439598294
46,30.39319219274133,121.81405221904696
46,30.39320980462347,121.81411717240638
46,30.393230351994383,121.81418501288287
47,30.39313489863232,121.81385412655192
47,30.393154446699654,121.81392018097475
47,30.393172185308547,121.81398439598294
47,30.39319219274134,121.81405221904696
47,30.39320980462347,121.81411717240638
47,30.393230351994383,121.81418501288287
48,30.393134898632315,121.81385412655192
48,30.393154446699654,121.81392018097475
48,30.393172185308547,121.81398439598294
48,30.39319219274133,121.81405221904696
48,30.39320980462347,121.81411717240638
48,30.393230351994383,121.81418501288287
49,30.39313489863232,121.81385412655192
49,30.393154446699654,121.81392018097475
49,30.393172185308547,121.81398439598294
49,30.39319219274133,121.81405221904696
49,30.39320980462347,121.81411717240638
49,30.393230351994383,121.81418501288287
50,30.393134898632315,121.81385412655192
50,30.393154446699654,121.81392018097475
50,30.393172185308547,121.81398439598294
50,30.39319219274133,121.81405221904696
50,30.39320980462347,121.81411717240638
50,30.393230351994383,121.81418501288287
51,30.39313489863232,121.81385412655192
51,30.393154446699654,121.81392018097475
51,30.393172185308547,121.81398439598294
51,30.39319219274134,121.81405221904696
51,30.39320980462347,121.81411717240638
51,30.393230351994383,121.81418501288287
52,30.39313489863232,121.81385412655192
52,30.393154446699654,121.81392018097475
52,30.393172185308547,121.81398439598294
